NO,Nilai,Kurs Jual,Kurs Beli,Tanggal
232,1,14455.92,14312.08,12/21/2021
233,1,14414.72,14271.29,12/20/2021
234,1,14414.72,14271.29,12/17/2021
235,1,14408.69,14265.32,12/16/2021
236,1,14419.74,14276.26,12/15/2021
237,1,14417.73,14274.27,12/14/2021
238,1,14449.89,14306.11,12/13/2021
239,1,14422.76,14279.25,12/10/2021
240,1,14419.74,14276.26,12/9/2021
241,1,14480.04,14335.96,12/8/2021
242,1,14513.21,14368.8,12/7/2021
243,1,14480.04,14335.96,12/6/2021
244,1,14449.89,14306.11,12/3/2021
245,1,14424.77,14281.24,12/2/2021
246,1,14391.6,14248.4,12/1/2021
247,1,14411.7,14268.3,11/30/2021
248,1,14351.4,14208.6,11/29/2021
249,1,14351.4,14208.6,11/26/2021
250,1,14343.36,14200.64,11/25/2021
251,1,14343.36,14200.64,11/24/2021
252,1,14326.28,14183.73,11/23/2021
253,1,14308.19,14165.82,11/22/2021
254,1,14302.16,14159.85,11/19/2021
255,1,14330.3,14187.71,11/18/2021
256,1,14282.06,14139.95,11/17/2021
257,1,14277.03,14134.97,11/16/2021
258,1,14314.22,14171.79,11/15/2021
259,1,14359.44,14216.56,11/12/2021
260,1,14324.27,14181.74,11/11/2021
261,1,14304.17,14161.84,11/10/2021
262,1,14339.34,14196.66,11/9/2021
263,1,14445.87,14302.13,11/8/2021
264,1,14398.64,14255.37,11/5/2021
265,1,14372.51,14229.5,11/4/2021
266,1,14332.31,14189.7,11/3/2021
267,1,14306.18,14163.83,11/2/2021
268,1,14241.86,14100.15,11/1/2021
269,1,14270,14128.01,10/29/2021
270,1,14254.92,14113.08,10/28/2021
271,1,14235.83,14094.18,10/27/2021
272,1,14253.92,14112.09,10/26/2021
273,1,14232.81,14091.19,10/25/2021
274,1,14203.67,14062.34,10/22/2021
275,1,14150.4,14009.6,10/21/2021
276,1,14166.48,14025.52,10/19/2021
277,1,14154.42,14013.58,10/18/2021
278,1,14225.78,14084.23,10/15/2021
279,1,14292.11,14149.9,10/14/2021
280,1,14288.09,14145.92,10/13/2021
281,1,14281.05,14138.95,10/12/2021
282,1,14296.13,14153.88,10/11/2021
283,1,14309.19,14166.81,10/8/2021
284,1,14316.23,14173.78,10/7/2021
285,1,14331.3,14188.7,10/6/2021
286,1,14347.38,14204.62,10/5/2021
287,1,14386.58,14243.43,10/4/2021
288,1,14392.61,14249.4,10/1/2021
289,1,14378.54,14235.47,9/30/2021
290,1,14340.35,14197.66,9/29/2021
291,1,14329.29,14186.71,9/28/2021
292,1,14321.25,14178.75,9/27/2021
293,1,14327.28,14184.72,9/24/2021
294,1,14320.25,14177.76,9/23/2021
295,1,14315.22,14172.78,9/22/2021
296,1,14322.26,14179.75,9/21/2021
297,1,14304.17,14161.84,9/20/2021
298,1,14309.19,14166.81,9/17/2021
299,1,14323.26,14180.74,9/16/2021
300,1,14328.29,14185.72,9/15/2021
301,1,14331.3,14188.7,9/14/2021
302,1,14296.13,14153.88,9/13/2021
303,1,14343.36,14200.64,9/10/2021
304,1,14337.33,14194.67,9/9/2021
305,1,14265.98,14124.03,9/8/2021
306,1,14310.2,14167.81,9/7/2021
307,1,14332.31,14189.7,9/6/2021
308,1,14352.41,14209.6,9/3/2021
309,1,14355.42,14212.58,9/2/2021
310,1,14377.53,14234.47,9/1/2021
311,1,14445.87,14302.13,8/31/2021
312,1,14503.16,14358.85,8/30/2021
313,1,14495.12,14350.89,8/27/2021
314,1,14480.04,14335.96,8/26/2021
315,1,14462.96,14319.05,8/25/2021
316,1,14487.08,14342.93,8/24/2021
317,1,14536.32,14391.68,8/23/2021
318,1,14486.07,14341.93,8/20/2021
319,1,14455.92,14312.08,8/19/2021
320,1,14454.92,14311.09,8/18/2021
321,1,14459.94,14316.06,8/16/2021
322,1,14460.95,14317.06,8/13/2021
323,1,14468.99,14325.02,8/12/2021
324,1,14449.89,14306.11,8/10/2021
325,1,14440.85,14297.16,8/9/2021
326,1,14413.71,14270.29,8/6/2021
327,1,14395.62,14252.38,8/5/2021
328,1,14433.81,14290.19,8/4/2021
329,1,14528.28,14383.72,8/3/2021
330,1,14534.31,14389.69,8/2/2021
331,1,14563.46,14418.55,7/30/2021
332,1,14570.49,14425.51,7/29/2021
333,1,14561.45,14416.56,7/28/2021
334,1,14566.47,14421.53,7/27/2021
335,1,14573.51,14428.5,7/26/2021
336,1,14580.54,14435.46,7/23/2021
